Race,Driver,Team,GridPosition,Position,Lap,TyreBefore,TyreAfter,PitDuration
Abu Dhabi Grand Prix,VER,Red Bull Racing,4,6,29,MEDIUM,HARD,32.739
Abu Dhabi Grand Prix,GAS,Alpine,5,7,14,MEDIUM,HARD,21.987
Abu Dhabi Grand Prix,HUL,Haas F1 Team,7,8,13,MEDIUM,HARD,21.575
Abu Dhabi Grand Prix,ALO,Aston Martin,8,9,13,MEDIUM,HARD,23.747
Abu Dhabi Grand Prix,ALO,Aston Martin,8,9,37,HARD,HARD,22.35
Abu Dhabi Grand Prix,PIA,McLaren,2,10,4,MEDIUM,HARD,23.581
Abu Dhabi Grand Prix,PIA,McLaren,2,10,32,HARD,HARD,32.798
Abu Dhabi Grand Prix,ALB,Williams,18,11,12,MEDIUM,HARD,22.054
Abu Dhabi Grand Prix,TSU,RB,11,12,22,MEDIUM,HARD,21.809
Abu Dhabi Grand Prix,ZHO,Kick Sauber,15,13,12,MEDIUM,HARD,22.978
Abu Dhabi Grand Prix,ZHO,Kick Sauber,15,13,39,HARD,HARD,28.854
Abu Dhabi Grand Prix,STR,Aston Martin,13,14,11,MEDIUM,HARD,23.265
Abu Dhabi Grand Prix,STR,Aston Martin,13,14,32,HARD,HARD,22.01
Abu Dhabi Grand Prix,DOO,Alpine,17,15,22,MEDIUM,HARD,22.066
Abu Dhabi Grand Prix,MAG,Haas F1 Team,14,16,12,MEDIUM,HARD,26.412
Abu Dhabi Grand Prix,MAG,Haas F1 Team,14,16,29,HARD,HARD,21.64
Abu Dhabi Grand Prix,MAG,Haas F1 Team,14,16,30,HARD,SOFT,22.732
Abu Dhabi Grand Prix,MAG,Haas F1 Team,14,16,55,SOFT,SOFT,22.032
Abu Dhabi Grand Prix,LAW,RB,12,17,23,MEDIUM,HARD,23.456
Abu Dhabi Grand Prix,LAW,RB,12,17,24,HARD,HARD,22.486
Abu Dhabi Grand Prix,LAW,RB,12,17,29,HARD,HARD,32.26
